ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
R00122149,Vinyl,BILL BLACK'S COMBO,Let's Twist Her,$5,HL 12006,Very Good Plus (VG+),Sleeve Condition,Good (G),1962
00034294,Vinyl,BILL DOGGETT,Prelude To The Blues,$3.5,CL 1942,Good (G),Sleeve Condition,Very Good (VG),1963
R00123804,Vinyl,BIX BEIDERBECKE,The Bix Beiderbecke Story / Volume 2,$3,CL 845,Very Good (VG),Sleeve Condition,Very Good (VG),1956
00033317,Vinyl,BOB KEESHAN,Captain Kangaroos Tv Party,$3,HL 9508,Fair (F),Sleeve Condition,Very Good Plus (VG+),1961
R00121938,Vinyl,BOB SEGER AND THE SILVER BULLET BAND,Stranger In Town,$8,B-5276,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1983
00049134,Vinyl,BOBBY HELMS,Sings To My Special Angel,$6,DL 8638,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1957
00029993,Vinyl,BOBBY VEE,Bobby Vee Meets The Ventures,$7,LRP-3289,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1963
R00122165,Vinyl,BOOTS RANDOLPH,The Yakin' Sax Man,$2,CAL 825,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
00030650,Vinyl,BRAM TCHAIKOVSKY,"Strange Man, Changed Man",$8,PD-1-6211,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1979
R00121685,Vinyl,BRENDA LEE,All Alone Am I,$3,DL 74370,Very Good Plus (VG+),Sleeve Condition,Good (G),1963
00037284,Vinyl,BUDDY KNOX,Buddy Knox And Jimmy Bowen,$7.5,R-25048,Good Plus (G+),Sleeve Condition,Good (G),1959
00118816,Vinyl,CARLY SIMON,Best Of Carly Simon,$8,6E-109,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1977
R00123660,Vinyl,CARLY SIMON,No Secrets,$5,75049,Very Good (VG),Sleeve Condition,Good Plus (G+),1972
R00121151,Vinyl,CARMEN DRAGON,An Evening With Sigmund Romberg,$4,S-37309,Very Good (VG),Sleeve Condition,Good Plus (G+),1962
R00125846,Vinyl,CAT STEVENS,Buddha And The Chocolate Box,$6.00,SP 3623,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1974
R00126129,Vinyl,cat stevens,Sleeve Condition
R00126188,Vinyl,CAT STEVENS,Teaser And The Firecat,$5.5,SP 4313,Very Good Plus (VG+),Sleeve Condition,Good (G),1971
00022965,Vinyl,CHARLIE KUNZ,The Songs We Sang,$6,ACL 7915,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1961
R00122383,Vinyl,CHARLIE PARKER,Charlie Parker Memorial Volume 4,$7,M 52123,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1963
R00121570,Vinyl,CHUBBY CHECKER / BOBBY RYDELL,Chubby Checker Y Bobby Rydell,$3,GX 01-006,Very Good Plus (VG+),Sleeve Condition,Good (G),1961
R00121647,Vinyl,CONNIE FRANCIS,Sing Along With Connie Francis,$2,8002,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1961
R00122865,Vinyl,CONNIE FRANCIS,Connie Francis Sings \ Never On Sunday\,$3,E3965,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1961
R00122269,Vinyl,DAN FOGELBERG AND TIM WEISBERG,Twin Sons Of Different Mothers,$3,PE 35339,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1978
R00122402,Vinyl,DJANGO REINHARDT,Memorial Album Volume 2,$8,SPL 1202,Very Good (VG),Sleeve Condition,Very Good (VG),1961
00050042,Vinyl,DOC EVANS,Doc Evans Rx For The Blues,$10,CS-51,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1959
00052881,Vinyl,DUANE TATRO,Jazz For Moderns,$10,C3514,Very Good (VG),Sleeve Condition,Fair (F),1956
R00125221,Vinyl,DURAN DURAN,The Wild Boys,$8,V 75078,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1984
R00126024,Vinyl,DURAN DURAN,Notorious,$6.00,S-75176,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1986
00055897,Vinyl,DYLAN THOMAS,Dylan Thomas Narrating Under Milkwood,$6,TC 2005,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1956
R00121559,Vinyl,EARL BOSTIC,Dance Time,$3,395-525,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1956
00050872,Vinyl,EDDIE SCHWARTZ,Public Life,$7,25 03441,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1984
00055822,Vinyl,ELLEN FOLLEY,Nightout,$7,JE 36052,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1979
R00123060,Vinyl,ELLEN FOLLEY,Nightout,$7,EPC 83718,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1979
00059056,Vinyl,ELTON JOHN,Breaking Hearts,$7,XGHS 24031,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1984
R00121709,Vinyl,ENGLAND DAN AND JOHN FORD COLEY,England Dan And John Ford Coley,$10,BT 76018,Very Good (VG),Sleeve Condition,Good Plus (G+),1979
R00123658,Vinyl,ERROLL GARNER,Dreamstreet,$3,ABC 365,Very Good (VG),Sleeve Condition,Very Good (VG),1961
00032849,Vinyl,EYDIE GORME,Come Sing With Me,$4,UAL 3143,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1961
R00126179,Vinyl,FLEETWOOD MAC,Tango In The Night,$14.00,W1 25471,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1987
00061196,Vinyl,FLETCHER HENDERSON,A Study In Frustration The Fletcher Henderson Story Volume 4,$6.5,BPG 62004,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1961
00048069,Vinyl,FOUR BROTHERS,Four Brothers,$3,CS 8197,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1960
00058141,Vinyl,FRANKIE LAINE,Jazz Spectacular,$3.5,CL 808,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1956
00062824,Vinyl,GERRY RAFFERTY,City To City,$8,UA-LA840-G,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1978
R00121952,Vinyl,GLENN MILLER AND HIS ORCHESTRA,Glenn Miller Plays Selections From \ The Glenn Miller Story\ And Other Hits,$7,LPM-1192,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1956
00039642,Vinyl,HANK LOCKLIN,Hank Locklin Sings Hank Williams,$4.5,LSP-2997,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
R00122948,Vinyl,HANK SNOW,Songs Of Tragedy,$3,LSP 2901,Good Plus (G+),Sleeve Condition,Good (G),1964
00119320,Vinyl,HANK WILLIAMS,Your Cheatin' Heart,$3.5,MGM C 996,Good Plus (G+),Sleeve Condition,Very Good (VG),1964
00120856,Vinyl,HAROLD ROME,I Can Get It For You Wholesale,$5.5,KOS 2180,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1962
00061493,Vinyl,IDLE EYES,Idle Eyes,$8,25 17511,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1985
00031395,Vinyl,JACK TEAGARDEN,Tribute To Teagarden,$4,T 2076,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1964
R00126121,Vinyl,JACKSON FIVE,Anthology,$14.50,M7-868R3,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1996
R00122215,Vinyl,JAMES TAYLOR,Never Die Young,$5,FC 40851,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1988
R00125544,Vinyl,JAMES TAYLOR,Sweet Baby James,$21.25,WS 1843,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1970
R00125565,Vinyl,JAMES TAYLOR,Walking Man,$4,W 2794,Very Good (VG),Sleeve Condition,Good (G),1974
R00122951,Vinyl,JAN AND DEAN,The Heart And Soul Of Jan And Dean And Friends,$3,DLP-181,Good Plus (G+),Sleeve Condition,Good Plus (G+),1964
R00122379,Vinyl,JELLY ROLL MORTON,Classic Piano Solos,$3.5,RLP 12-111,Very Good (VG),Sleeve Condition,Good (G),1957
R00125768,Vinyl,JENNIFER WARNES,Famous Blue Raincoat (The Songs Of Leonard Cohen),$8.00,LAT 1227,Good Plus (G+),Sleeve Condition,Very Good Plus (VG+),1986
00120797,Vinyl,JERRY BUTLER,Folk Songs,$9,VJLP 1057,Good Plus (G+),Sleeve Condition,Good (G),1963
00033354,Vinyl,JIM REEVES,Country Side Of...,$3.5,CAS-686,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1962
R00125735,Vinyl,JOAN BAEZ,"Where Are You Now, My Son?",$5.5,SPC-3748,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1980
00026264,Vinyl,JOEY DEE AND THE STARLITERS,Doin The Twist At The Peppermint Lounge,$5,SR 25166,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1962
00120938,Vinyl,JOSE MELIS,Jose Melis On Broadway,$7,MG 20610,Near Mint (NM or M-),Sleeve Condition,Good (G),1961
R00121195,Vinyl,JOSIE COTTON,Johnny Are You Queer?,$10,AS-11538,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1982
R00122174,Vinyl,KING SWALLOW,Dance Anyway You Like,$7,SCR 1983,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1982
00050718,Vinyl,KINGSTON TRIO,The Best Of,$4,T-1705,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1962
R00122996,Vinyl,KINGSTON TRIO,At Large,$2.5,T1199,Good Plus (G+),Sleeve Condition,Good Plus (G+),1959
00074961,Vinyl,KNUCKLES O'TOOLE,Plays The Greatest All-Time Ragtime Hits,$5,GA 33-373,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1958
00046650,Vinyl,LAURA OLSHER,The Little Engine That Could!,$3.5,1259,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1964
00047611,Vinyl,LEON BIBB,Sings Folk Songs,$3.5,VRS 9041,Good Plus (G+),Sleeve Condition,Good Plus (G+),1958
00028682,Vinyl,LEON MARIAN,Plays Fiorello!,$5,CELP-459,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1959
00061193,Vinyl,MAHALIA JACKSON,The Newport Jazz Festival 1958,$4,840 025 BY,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1958
R00123162,Vinyl,MANNY ALBAM AND HIS ORCHESTRA,Jazz Goes To The Movies,$3.5, A-19 ,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1962
R00122119,Vinyl,MARK SPOELSTRA,The Songs Of Mark Spoelstra (With Twelve String Guitar),$9.5,FA 2444,Good Plus (G+),Sleeve Condition,Good Plus (G+),1963
R00123008,Vinyl,MARTY ROBBINS,More Greatest Hits,$2.5,CL 1635,Very Good (VG),Sleeve Condition,Good Plus (G+),1961
R00123018,Vinyl,MARTY ROBBINS,Marty's Greatest Hits,$4,CS 8639,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1962
00007473,Vinyl,MAX FERGUSON,Rawhide A Satire,$5,FP86-2,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1955
00011319,Vinyl,MAX FERGUSON,Rawhide 2,$12.5,FS 3872,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1957
00050077,Vinyl,MEL DAVIS SEXTET,Shoot The Trumpet Player,$7,S/2070,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1963
00002387,Vinyl,MICHAEL FLANDERS AND DONALD SWANN,At The Drop Of A Hat,$5,S 35797,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1959
00057163,Vinyl,MISSING PERSONS,Spring Session M,$18,ST-12228,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1982
00039643,Vinyl,NED LANDRY,Ned Landry And His Fiddle,$4,A-610,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
00120814,Vinyl,NEIL DIAMOND,The Jazz Singer,$14,SWAV-12120,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1980
R00126174,Vinyl,NEW YORK DOLLS,New York Dolls,$52.00,SRM 1-675,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1973
00120816,Vinyl,PAT BENATAR,In The Heat Of The Night,$8,CHR 1236,Very Good (VG),Sleeve Condition,Good (G),1979
R00126176,Vinyl,PETER GABRIEL,Plays Live,$22.00,2GHS 4012,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1983
R00121134,Vinyl,PETER PAUL AND MARY,Moving,$4,WS 1473,Very Good (VG),Sleeve Condition,Good (G),1963
R00123085,Vinyl,PETER PAUL AND MARY,Peter Paul And Mary,$4, WS 1449 ,Good Plus (G+),Sleeve Condition,Good (G),1962
00040035,Vinyl,RAY KOERNER,"Lots More Blues, Rags And Hollers",$9,EKS-7267,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
00120892,Vinyl,ROBERT PALMER,Riptide,$14, ISL 1066,Good Plus (G+),Sleeve Condition,Good Plus (G+),1985
00022573,Vinyl,RONNIE BARKER AND RONNIE CORBETT,The Best Of The Two Ronnies,$10,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),Unknown
R00123663,Vinyl,ROY ORBISON,Roy Orbison's Greatest Hits,$3,XM 4009,Very Good (VG),Sleeve Condition,Very Good (VG),1962
00059894,Vinyl,SANDY NELSON,Drums Are My Beat!,$6,LP 9168,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1962
R00125816,Vinyl,SIMPLE MINDS,Don't You (Forget About Me),$9,VSX 1250,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1985
R00126207,Vinyl,SLADE,Slades Greats,$14.00,PDS-1-6398,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1984
00032063,Vinyl,SOMERS; PAPINEAU-COUTURE; ADASKIN,Contemporary Canadian Music,$12.5,ML 5685,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1961
R00121693,Vinyl,SPLIT ENZ,Time And Tide,$11,SP-4894,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1982
R00123582,Vinyl,SPLIT ENZ,True Colours,$35,SP-4822,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1980
R00123684,Vinyl,SPLIT ENZ,Conflicting Emotions,$6,SP-4963,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1984
R00125701,Vinyl,SPLIT ENZ,True Colours Red Cover,$35.,SP 4822,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1980
00033022,Vinyl,STEVE LAWRENCE,Steve Lawrence Meets Tennessee Ernie Ford,$10,CA 3007,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1963
R00126101,Vinyl,STEVE MILLER BAND,Sleeve Condition
R00126043,Vinyl,STRANGE ADVANCE,Love Becomes Electric,$5,C1-75207,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1988
R00125250,Vinyl,TEARS FOR FEARS,Shout,$12.50,SOVX 2351,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1984
R00123308,Vinyl,"THE 5 ECHOES, THE BLUENOTES, THE 5 CHANCES",Collectors Showcase Groups Three Vol. V,$3, CS-5 ,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1964
00051691,Vinyl,THE GEORGE SHEARING QUINTET,San Francisco Scene,$3.5, ST-1715 ,Good Plus (G+),Sleeve Condition,Very Good Plus (VG+),1962
00061938,Vinyl,THE GUESS WHO,Canned Wheat,$11.50,LSP-4157,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1969
00052876,Vinyl,THE MODERN JAZZ QUARTET,The Sheriff,$16.25,SD 1414,Mint (M),Sleeve Condition,Very Good Plus (VG+),1964
R00125480,Vinyl,THE MOTHERS OF INVENTION,Absolutely Free,$24,V6 5013,Very Good (VG),Sleeve Condition,Very Good (VG),1967
R00123343,Vinyl,THE ORIGINAL INK SPOTS,Golden Favorites,$3, DL 4297 ,Very Good (VG),Sleeve Condition,Good Plus (G+),1962
R00121715,Vinyl,THE PLATTERS,20 Fantastic Hits,$9,NC-449,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1975
R00124417,Vinyl,THE STEVE GIBBONS BAND,Any Road Up,$6,MCA-2187,Very Good Plus (VG+),Sleeve Condition,Good (G)
00050046,Vinyl,TONY CROMBIE,"Swing Low, Swing Easy",$3.5,RPS 39004,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1962
R00122227,Vinyl,VARIOUS,Hair,$9,543.011,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1970
R00123021,Vinyl,VARIOUS,The Jazz Story Volume 2 (Rare Records Of The Men And The Music,$6,W2138,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1964
R00123240,Vinyl,VARIOUS,Golden Goodies - Vol. 8,$1, R-25214 ,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1963
R00126224,Vinyl,VARIOUS,The Concert For Bangla Desh,$42,STCX 3385,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1971
00118009,Vinyl,VERA LYNN,As Time Goes By,$3.5,SE 3889,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1961
R00122858,Vinyl,VERDI,La Traviata,$4.5,LSC-2561,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1961
00026120,Vinyl,WOODY WOODBURY,Laughing Room,$5,M.W. 2,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1960
