ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
R00122865,Vinyl,CONNIE FRANCIS,Connie Francis Sings \ Never On Sunday\,$6,E3965,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1961
R00126326,Vinyl,D. KABALEVSKY,"Ozan Marsh, Paul Freeman The Royal Philharmonic Orchestra - Concerto No. 2 In G Minor (New Version) And Selected Piano Works",$8.00,P-14254,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1977
R00122269,Vinyl,DAN FOGELBERG AND TIM WEISBERG,Twin Sons Of Different Mothers,$3,PE 35339,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1978
R00126101,Vinyl,DAVE MASON,Let It Flow,$4.5,PC 34680,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1977
R00122402,Vinyl,DJANGO REINHARDT,Memorial Album Volume 2,$16,SPL 1202,Very Good (VG),Sleeve Condition,Very Good (VG),1961
00050042,Vinyl,DOC EVANS,Doc Evans Rx For The Blues,$20,CS-51,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1959
R00126307,Vinyl,DONOVAN,What's Bin Did And What's Bin Hid,$6.50,MALS 795,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1969
00052881,Vinyl,DUANE TATRO,Jazz For Moderns,$20,C3514,Very Good (VG),Sleeve Condition,Fair (F),1956
00055897,Vinyl,DYLAN THOMAS,Dylan Thomas Narrating Under Milkwood,$12,TC 2005,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1956
R00121559,Vinyl,EARL BOSTIC,Dance Time,$6,395-525,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1956
00055822,Vinyl,ELLEN FOLEY,Nightout,$7,JE 36052,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1979
R00123060,Vinyl,ELLEN FOLEY,Nightout,$7,EPC 83718,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1979
00052222,Vinyl,ELTON JOHN,21 At 33,$6.5,MCA-5121,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1980
00059056,Vinyl,ELTON JOHN,Breaking Hearts,$7,XGHS 24031,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1984
00118985,Vinyl,ELTON JOHN,Too Low For Zero,$10,GHS 4006,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1983
R00121655,Vinyl,ELTON JOHN,Rock Of The Westies,$8.00,MCA-2163,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1975
R00122857,Vinyl,ELTON JOHN,Tumbleweed Connection,$12,73096,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1971
R00123102,Vinyl,ELTON JOHN,The Fox,$6,XGHS 2002,Very Good (VG),Sleeve Condition,Very Good (VG),1981
R00126297,Vinyl,ELTON JOHN,Friends,$4.00,PAS 6004,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1971
R00126298,Vinyl,ELTON JOHN,Ice On Fire,$14.00,ghs 24077,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1985
R00126300,Vinyl,ELTON JOHN,Jump Up!,$4.5,XGHS 2013,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1982
R00126306,Vinyl,ELTON JOHN,Caribou,$6.50,MCA-2116,Very Good (VG),Sleeve Condition,Very Good (VG),1974
